trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
253,False,"{'a': 0.3, 'e': 0.07965902028589801}",20,10,-21.822297617999872,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
254,False,"{'a': 0.3, 'e': 0.07886639979067495}",25,0,34.756964639150475,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
255,False,"{'a': 0.3, 'e': 0.07808166600115313}",25,16,15.005501441459105,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
256,False,"{'a': 0.3, 'e': 0.07730474044329974}",30,9,34.64372170180205,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
257,False,"{'a': 0.3, 'e': 0.07653554542391151}",30,8,41.18256990339346,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
258,False,"{'a': 0.3, 'e': 0.07577400402284548}",30,18,22.292261690280995,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
259,False,"{'a': 0.3, 'e': 0.07502004008532698}",30,19,-18.587344578229228,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 0}",1
260,False,"{'a': 0.3, 'e': 0.07427357821433388}",20,10,15.306706598651681,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
261,False,"{'a': 0.3, 'e': 0.0735345437630571}",25,15,19.37777542564979,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
262,False,"{'a': 0.3, 'e': 0.07280286282743559}",25,17,14.314272331758543,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
263,False,"{'a': 0.3, 'e': 0.0720784622387661}",25,11,26.30938759010596,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
264,False,"{'a': 0.3, 'e': 0.07136126955638605}",20,0,32.17093658957213,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
265,False,"{'a': 0.3, 'e': 0.0706512130604296}",20,0,31.52186820399778,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
266,False,"{'a': 0.3, 'e': 0.06994822174465536}",25,14,-20.237474447921578,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
267,False,"{'a': 0.3, 'e': 0.069252225309346}",20,2,22.75692747119896,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
268,False,"{'a': 0.3, 'e': 0.06856315415427791}",20,8,23.58986223679858,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
269,False,"{'a': 0.3, 'e': 0.06788093937176144}",25,14,18.334077253440967,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
270,False,"{'a': 0.3, 'e': 0.06720551273974976}",20,14,12.813638467611895,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
271,False,"{'a': 0.3, 'e': 0.06653680671501686}",20,6,28.459174607976312,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
272,False,"{'a': 0.3, 'e': 0.06587475442640295}",20,4,-11.829595187957487,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
273,False,"{'a': 0.3, 'e': 0.06521928966812753}",35,21,25.214008682625575,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
